,video_id,Comment
0,-1v_q6TWAL4,"[""If you want to see how the series began you'll have to watch Season One of Buffy (known as the season before Oz and Jonathan came)."", 'Buffy is the best fictional female character ever written .', 'BrandonZarif BuffyAngel', ""Awesome trailer.  Now that's how you tease a show!"", 'Why does this looks like mixture of vampire diaries spn and twilight lame', 'I LOVE THIS', 'I wish this tv show was made in later years just so they could have avoided some of the cringyness. I want to watch this, but i feel like it will disappoint. Am i wrong?', 'Perfect!!!!!!!', 'Ok im trying to find some good tv series to watch this sembreak, is this good? And if u know some good ones please recommend thanks', 'Yes indeed the shit is going to hit the fan at an unknown speed']"
1,-4QPVo0UIzc,"['The Angels took the W', 'I am going have to check that movie out.', ""Great movie!! Even better the 2nd time and hey looks like it's still working for the Athletics."", 'Fenerin bundan etkilendiğini duyup gelenler sayımızı bilelim', '1:27 Amazing song, this will destroy you', 'CHRIS PRATT 0:57', 'good movies gone with brad pit ❤', 'Who is there after Vegas Golden Knights gets to Stanley Cup Final ?', 'Boring', ""How many of you are here after reading Zerodha's Varsity material?""]"
2,-7qo4Iy0ULk,"[""You're gonna go down in history as the man who killed superman. Every time I hear that I laugh. Think it's his voice."", 'Happy birthday superman christopher reeve', 'They should have stick with Brainiac and Mxyzptlk', 'The Richard Pryor show, no wonder Reeve hated it.', 'This trailer spoiled the entire movie. You already know Gus Gorman makes it out okay in the end and that the super computer gets destroyed.', 'This movie is great because it gives petter gibbons the scheme he hatched in office space with fractional pennies', 'This trailer is far better than the whole movie.', 'Superman 3 actually covered a lot of huge issues we actually only recognize today, like black hat bank robberies the dangers of artificial intelligence and megalomaniac set out to find the next great technology that will hold the world hostage', 'WhY?', 'me parece muy buena por que habla bien de COLOMBIA']"
3,-AFO0rUjXIA,"['I loved this movie', 'This is hands down THE BEST movie ever made!!!! Joaquin and Reese did EXCELLENT in their respective roles of June and THE BEST singer in history---the man in black--Mr. Cash', ""“I wear the black for the poor and the beaten down,\nLivin' in the hopeless, hungry side of town,\nI wear it for the prisoner who has long paid for his crime,\nBut is there because he's a victim of the times.\n\nI wear the black for those who never read”\n\n― Johnny Cash, The Essential Johnny Cash"", 'They need this on Netflix', 'is the first song in this trailer by Explosions in the Sky????', 'Me to', 'Sometimes I like to wear black!', 'I may not be black but I have seen Walk The Line!', 'lovely', ""It's Snow White!""]"
4,-Czz-TcWCkA,"['El mejor trailer', ""A prequel to the original that takes place in the future, after the original. That's crazy!"", 'It’s 2018 where’s my war', 'This movie has one of the best cgi', 'they really should have continued with this version', 'Damn..great trailer..gave bit too much away with sams character. Shouldve saved that for the movie.', 'Id never seen a trailer of this at time it came out. When i picked it to watch at theater out of boredom, i didnt even know it was part of terminator franchise. This movie is great though, id say its the second best Terminator movie behind the original. Great looking world when get to soak in. Bale is an awesome John Connor. Good action, not overdone like T2. Good story. Geeked out when CG young built Arnold stepped out and hear that music dun dun..dun.dun dun. Worthington character was a nice addition. It had my attention whole time. A sequel wouldve been awesome..too bad rights got sold during a lawsuit. Great movie.', 'Bruce Needs To Chill Man', 'It´s been a while since we all watched this great movie and we still looking for its trailer, hahahah you can´t tell I´m wrong. Now let me know guys...I was wondering how many of you were playing the game of terminator salvation in the official page from the movie? Because I was one of them and I have to say, it was a really good experience, greetings from 2018! the day the whole world went away', 'This had the potential to be the start of another great Terminator trilogy. It was really enjoyable and I loved the focus on the war on machines after the nuclear strike.\n\nToo bad critics hated the film and it got ended like this.']"
5,-FcK_UiVV40,"[""How did the cycle started? I mean, his DNA couldn't just appeared from nowhere, he/she must have an ancestor"", 'Neither director nor God knows the answer where he came from?😖', ""Next to this, Inception is child'splay"", 'I watched this movie again n again to understand what the hell is going on...', 'good watch! 7.5/10', ""This movie is based on the short story All You Zombies, written by Robert A. Heinlein. It's no wonder Heinlein is often referred to as The Dean of Science Fiction."", 'Still better love story than the New Testament.', ""One of the most underrated movie I've ever seen."", 'Serious spoilers below, peeps. If you plan to watch this movie, DO NOT read these comments.', 'One of the best movies ever made in history!']"
6,-H1Ii1LjyFU,"['Well, this movie seems kinda sad, but this is just my opinion Idk', 'EXCEPTIONAL acting, script, directing, editing, production EVERYTHING!!!! One of the best films available on Netflix!!!', 'well i found it boring..don’t like it', ""The Nocturnal Animals book story; it's all the father's fault."", '0:28 ATTACK ON TITIAN!', ""One of the best movies I've ever seen next to Prisoners, The Prestige and Zodiac."", 'I need to be EXTREMELY high when I watch this....I think I’ll set the DVR and watch it later.  Too intense for a lazy Sunday afternoon.', ""Probably the scariest non horror film I've ever seen"", 'Fucken annoying movie.. 10 out of 10.', 'The entrance to this movie was disgusting 😖']"
7,-JZ_moituIo,"['Watched this after watching red 2 both movies are very good😍', 'Old man my a...... !', 'old man my ass', 'Mary Luise Parker.. I could not believe her age.', '""I\'m gettin\' the *PIG*', 'Bruce... Almighty Willis', 'Wow Weeds look great!', '""Still armed, Still dangerous, Still got it."" \nreally like the sound of that.', ""this its amazing and i'm ready to watch it 3rd time"", 'what is the title of main theme music?']"
8,-Lj2U-cmyek,"['Meg Ryan was so gorgeous during this time period', 'My favorite moviiie 😚', ""These two actors have fallen in love by destiny in almost two movies, but they haven t in real life.  This is sad to me: they' re great together."", 'One of my favorites...😍\nThe story, the cast, everything in this movie, I love it all.', 'We want to be true and brave to find the best person for us. \n\nThere is a Ying to every Yang! Is there Not!? How would we know, we lie to make money by lying in movies! \n\nMaking sad jokes that show our true relationship status. \n\nWe joke about making lies when It’s never funny to anyone alone!', 'Watched the movie again and I have a totally different point of view from the first time. It is very unlikely that a single woman who lived with a guy having fantasy for another with whom she simply heard over the radio. On the other hand the kid responded to the stalker of his dad and that eventually brought them together. How ridiculous is this?', 'Lara Jean Song Covey girlllllllll', 'Me hearing Tom Hanks shouting, all I can hear is Woody.', 'Love this movie and everyone in it! \nThey do not make romantic comedy like this anymore The film is also driven by strong lead performance and concrete chemistry between Tom Hanks and Meg Ryan', 'Back in the day when movies were as realistic as it can be. Simple yet memorable. Not like all the flesh-peeping movies of today.']"
9,-Qv6p6pTz5I,"['my gosh.. I think I see is Mr Bean Instead of Johnny English ahahahahah.', 'ho hum', 'He is over 60!', 'Johnny english vs jhon wick', 'Interested to see naked me ??click here ...https://bit.ly/2Eqm8kL', 'Johnny English strike again  2 please do another movie with Roman Atkinson 🙂', 'Best action/comedy movie... Since the first one...', 'nice to see you again', ""Can someone name the song that starts around 1:17? I definitely know if but can't think of the title..."", 'I watched the movie yesterday, Outstanding and extremely funny. I could not stop laughing even when after the movie finished']"
