,movie,rating
0,Star Wars: Episode V - The Empire Strikes Back,PG
1,The Shining,R
2,Raging Bull,R
3,The Elephant Man,PG
4,Airplane!,PG
5,The Blues Brothers,R
6,Friday the 13th,R
7,Caddyshack,R
8,Superman II,PG
9,The Blue Lagoon,R
10,The Fog,R
11,The Gods Must Be Crazy,PG
12,Cannibal Holocaust,Unrated
13,Flash Gordon,PG
14,Ordinary People,R
15,Dressed to Kill,R
16,Altered States,R
17,Popeye,PG
18,The Changeling,R
19,Somewhere in Time,PG
20,9 to 5,PG
21,Stir Crazy,R
22,Private Benjamin,R
23,American Gigolo,R
24,Fame,R
25,The Big Red One,R
26,Any Which Way You Can,PG
27,Coal Miner's Daughter,PG
28,Brubaker,R
29,Smokey and the Bandit II,PG
30,Prom Night,R
31,Used Cars,R
32,Heaven's Gate,R
33,Urban Cowboy,PG
34,Raiders of the Lost Ark,PG
35,Das Boot,R
36,The Evil Dead,NC-17
37,The Road Warrior,R
38,Escape from New York,R
39,For Your Eyes Only,PG
40,An American Werewolf in London,R
41,The Fox and the Hound,G
42,Halloween II,R
43,Stripes,R
44,Excalibur,PG
45,Time Bandits,PG
46,Friday the 13th Part 2,R
47,Chariots of Fire,PG
48,Scanners,R
49,Clash of the Titans,PG
50,Blow Out,R
51,Porky's,R
52,Gallipoli,PG
53,The Cannonball Run,PG
54,Heavy Metal,R
55,Body Heat,R
56,The Howling,R
57,On Golden Pond,PG
58,Victory,PG
59,Arthur,PG
60,Thief,R
61,The Postman Always Rings Twice,R
62,Reds,PG
63,Quest for Fire,R
64,The Final Conflict,R
65,Taps,PG
66,My Bloody Valentine,R
67,Nighthawks,R
68,Southern Comfort,R
69,Dragonslayer,PG
70,Mommie Dearest,R
71,The Great Muppet Caper,G
72,The French Lieutenant's Woman,R
73,Blade Runner,R
74,E.T. the Extra-Terrestrial,PG
75,The Thing,R
76,Gandhi,PG
77,First Blood,R
78,Rocky III,PG
79,Conan the Barbarian,R
80,Poltergeist,PG
81,TRON,PG
82,Star Trek II: The Wrath of Khan,PG
83,Tootsie,PG
84,Fast Times at Ridgemont High,R
85,The King of Comedy,PG
86,48 Hrs.,R
87,Fanny and Alexander,R
88,The Dark Crystal,PG
89,Airplane II: The Sequel,PG
90,An Officer and a Gentleman,R
91,Friday the 13th Part III,R
92,Creepshow,R
93,Annie,PG
94,Sophie's Choice,R
95,Halloween III: Season of the Witch,R
96,The Secret of NIMH,G
97,The Verdict,R
98,The World According to Garp,R
99,Firefox,PG
100,The Beastmaster,PG
