,description,video_id,origin_title,poster,title
0,"AVATAR takes us to a spectacular world beyond imagination, where a reluctant hero embarks on an epic adventure, ultimately fighting to save the alien world he ...",5PSNL1qE6VY,Avatar ,https://i.ytimg.com/vi/5PSNL1qE6VY/default.jpg,Avatar | Official Trailer (HD) | 20th Century FOX
1,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Like us on ...,HKSZtp_OGHY,Pirates of the Caribbean: At World's End ,https://i.ytimg.com/vi/HKSZtp_OGHY/default.jpg,Pirates of the Caribbean: At World's End (2007) Official Trailer #1 - Johnny Depp Movie HD
2,007 Spectre Trailer 2 (2015) Daniel Craig James Bond Movie HD [Official Trailer],7GqClqvlObY,Spectre ,https://i.ytimg.com/vi/7GqClqvlObY/default.jpg,007 Spectre Official Trailer #2 (2015) Daniel Craig James Bond Movie HD
3,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Follow us on ...,GokKUqLcvD8,The Dark Knight Rises ,https://i.ytimg.com/vi/GokKUqLcvD8/default.jpg,"The Dark Knight Rises Official Movie Trailer Christian Bale, Batman Movie (2012) HD"
4,"Watch the official trailer for Star Wars: The Force Awakens, coming to theaters December 18, 2015. Visit Star Wars at http://www.starwars.com Subscribe to Star ...",sGbxmsDFVnE,Star Wars: Episode VII - The Force Awakens             ,https://i.ytimg.com/vi/sGbxmsDFVnE/default.jpg,Star Wars: The Force Awakens Trailer (Official)
5,"On Disney Blu-ray Combo Pack, Blu-ray 3D, HD Digital and DVD. Order here: http://di.sn/JCBluray Facebook: http://di.sn/JCFacebook Official Site: ...",nlvYKl1fjBI,John Carter ,https://i.ytimg.com/vi/nlvYKl1fjBI/default.jpg,John Carter Trailer
6,Peter Parker (Tobey Maguire) has finally managed to strike a balance between his devotion to M.J. (Kirsten Dunst) and his duties as a superhero. But when his ...,MTIP-Ih_GR0,Spider-Man 3 ,https://i.ytimg.com/vi/MTIP-Ih_GR0/default.jpg,Spider-Man 3 - Trailer
7,Become a fan on Facebook and order here: http://on.fb.me/hKyeqw Play the Tangled Double Trouble Game: http://bit.ly/gzzOKb Tangled is now available on ...,2f516ZLyC6U,Tangled ,https://i.ytimg.com/vi/2f516ZLyC6U/default.jpg,Tangled: Trailer 1
8,"Get your first look at Ultron trying to tear apart Captain America, Iron Man, Thor and the rest of the world in the first official teaser trailer for Marvel's ""Avengers: ...",tmeOjFno6Do,Avengers: Age of Ultron ,https://i.ytimg.com/vi/tmeOjFno6Do/default.jpg,"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)"
9,Harry Potter and the Half Blood Prince (2009) Official Trailer - Daniel Radcliffe Movie HD Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to ...,sg81Lts5kYY,Harry Potter and the Half-Blood Prince ,https://i.ytimg.com/vi/sg81Lts5kYY/default.jpg,Harry Potter and the Half Blood Prince (2009) Official Trailer - Daniel Radcliffe Movie HD
10,"Zack Snyder's BATMAN V SUPERMAN: DAWN OF JUSTICE is in theaters March 25, 2016. http://batmanvsupermanmovie.com ...",0WWzgGyAH6Y,Batman v Superman: Dawn of Justice ,https://i.ytimg.com/vi/0WWzgGyAH6Y/default.jpg,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD]
11,Superman Returns (2006) Official Trailer #1 - Superhero Movie HD Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: ...,bRqAUqAFhNw,Superman Returns ,https://i.ytimg.com/vi/bRqAUqAFhNw/default.jpg,Superman Returns (2006) Official Trailer #1 - Superhero Movie HD
12,Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,BBqYaFEWBxI,Quantum of Solace ,https://i.ytimg.com/vi/BBqYaFEWBxI/default.jpg,"Quantum of Solace (2008) Official Trailer 2 - Daniel Craig, Olga Kurylenko Movie HD"
13,"Pirates of The Caribbean: On Stranger Tides, release date 20th May 2011. Johnny Depp, Geoffrey Rush, Penélope Cruz & Ian McShane. Directed By Rob ...",ozk0-RHXtFw,Pirates of the Caribbean: Dead Man's Chest ,https://i.ytimg.com/vi/ozk0-RHXtFw/default.jpg,Pirates of the Caribbean Dead Man's Chest Trailer HD
14,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Watch our TRAILER REVIEW: ...,JjFsNSoDZK8,The Lone Ranger ,https://i.ytimg.com/vi/JjFsNSoDZK8/default.jpg,The Lone Ranger Official Trailer #2 (2012) - Johnny Depp Movie HD
15,"http://manofsteel.com http://www.facebook.com/manofsteel In theaters June 14th. From Warner Bros. and Legendary Pictures comes ""Man of Steel"", starring ...",T6DJcgm3wNY,Man of Steel ,https://i.ytimg.com/vi/T6DJcgm3wNY/default.jpg,Man of Steel - Official Trailer 3 [HD]
16,"The characters of C.S. Lewis timeless fantasy come to life once again in this newest installment of the Chronicles of Narnia series, in which the Pevensie siblings ...",9Q0Da4jlxBk,The Chronicles of Narnia: Prince Caspian ,https://i.ytimg.com/vi/9Q0Da4jlxBk/default.jpg,The Chronicles of Narnia: Prince Caspian (Official trailer)
17,"Watch the first trailer for ""Marvel's The Avengers"", in theaters May 4, 2012.",eOrNdBpGMv8,The Avengers ,https://i.ytimg.com/vi/eOrNdBpGMv8/default.jpg,Marvel's The Avengers- Trailer (OFFICIAL)
18,Now available on Disney Blu-ray™ Combo Pack / Blu-ray 3D and Movie Download: http://di.sn/AP Official Site: http://disney.com/Pirates Like us on Facebook: ...,KR_9A-cUEJc,Pirates of the Caribbean: On Stranger Tides ,https://i.ytimg.com/vi/KR_9A-cUEJc/default.jpg,Pirates of the Caribbean: On Strange Tides - Trailer 1
19,"Release Date: 25 May 2012 (United States) In Men in Black™ 3, Agents J (Will Smith) and K (Tommy Lee Jones) are back... in time. J has seen some ...",IyaFEBI_L24,Men in Black 3 ,https://i.ytimg.com/vi/IyaFEBI_L24/default.jpg,MEN IN BLACK 3 - Official Trailer - In Theaters 5/25/12
